City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,4.84,91,100,5.88,TF,1731365744
1,ifrane,33.3333,-5.25,9.7,61,82,2.12,MA,1731365745
2,blackmans bay,-43.0167,147.3167,16.52,60,37,0.89,AU,1731365746
3,mesyagutovo,55.5303,58.2528,-13.76,97,45,1.98,RU,1731365747
4,mocimboa,-11.3167,40.35,24.32,92,33,1.38,MZ,1731365748
5,thompson,55.7435,-97.8558,-3.91,86,100,1.54,CA,1731365749
6,adamstown,-25.066,-130.1015,21.42,64,97,0.99,PN,1731365750
7,georgetown,5.4112,100.3354,25.96,84,20,1.03,MY,1731365643
8,vadso,70.0744,29.7487,3.09,87,40,5.14,NO,1731365753
9,waitangi,-43.9535,-176.5597,13.23,76,83,3.58,NZ,1731365754
10,puerto natales,-51.7236,-72.4875,12.25,50,75,15.43,CL,1731365755
11,campoverde,-8.4753,-74.8058,29.83,58,98,0.31,PE,1731365756
12,west island,-12.1568,96.8225,25.99,89,100,7.2,CC,1731365757
13,sona,45.4388,10.8255,3.51,87,81,1.54,IT,1731365758
14,sao lourenco do oeste,-26.3592,-52.8511,22.92,58,59,3.39,BR,1731365759
15,arraial do cabo,-22.9661,-42.0278,20.98,88,0,3.09,BR,1731365760
16,razole,16.4833,81.8333,25.78,79,100,2.71,IN,1731365761
17,mount gambier,-37.8333,140.7667,14.56,82,77,1.43,AU,1731365762
18,lerwick,60.1545,-1.1494,9.82,77,100,3.72,GB,1731365589
19,whitehorse,60.7161,-135.0538,-1.61,92,75,0.0,CA,1731365765
20,papatowai,-46.5619,169.4708,14.93,48,12,4.21,NZ,1731365766
21,corfu,39.62,19.9197,16.22,59,20,2.57,GR,1731365767
22,menongue,-14.6585,17.691,17.17,95,98,1.53,AO,1731365768
23,qaqortoq,60.7167,-46.0333,-0.84,91,100,5.36,GL,1731365769
24,edinburgh of the seven seas,-37.0676,-12.3116,13.08,78,99,6.37,SH,1731365770
25,fale old settlement,-9.3852,-171.2468,28.96,62,3,8.17,TK,1731365771
26,olonkinbyen,70.9221,-8.7187,0.51,92,99,8.1,SJ,1731365772
27,albany,42.6001,-73.9662,14.2,65,21,0.89,US,1731365720
28,avarua,-21.2078,-159.775,25.03,61,40,8.23,CK,1731365775
29,isangel,-19.55,169.2667,29.06,70,75,3.09,VU,1731365776
30,nema,57.5067,50.5011,-3.31,96,87,3.01,RU,1731365777
31,invercargill,-46.4,168.35,15.01,53,14,5.36,NZ,1731365779
32,sabha,27.0377,14.4283,18.53,27,73,3.14,LY,1731365781
33,alaghsas,17.0187,8.0168,21.53,22,1,5.25,NE,1731365783
34,nsanje,-16.92,35.262,26.82,64,30,2.25,MW,1731365784
35,sarandi,-23.4436,-51.8739,29.75,45,20,2.57,BR,1731365785
36,grytviken,-54.2811,-36.5092,-0.23,92,94,4.62,GS,1731365786
37,uturoa,-16.7333,-151.4333,26.12,81,88,7.72,PF,1731365787
38,ushuaia,-54.8,-68.3,8.81,71,75,1.54,AR,1731365788
